UNIVERSIDAD,TIPO_UNI,PAIS_UNI,UNI
UNIVERSIDAD NACIONAL DEL COMAHUE,Publica,Argentina,UNIVERSIDAD NACIONAL DEL COMAHUE
UNIVERSIDAD NACIONAL DEL LITORAL,Publica,Argentina,UNIVERSIDAD DEL LITORAL
UNIVERSIDAD NACIONAL DEL NORDESTE,Publica,Argentina,UNIVERSIDAD NACIONAL DEL NORDESTE
UNIVERSIDAD NACIONAL DEL SUR,Publica,Argentina,UNIVERSIDAD NACIONAL DEL SUR
UNIVERSIDAD AUTONOMA GABRIEL RENE MORENO,Publica,Bolivia,UNIVERSIDAD AUTONOMA GABRIEL RENE MORENO
UNIVERSIDAD AUTONOMA JUAN MISAEL SARACHO,Publica,Bolivia,UNIVERSIDAD AUTONOMA JUAN MISAEL SARACHO
UNIVERSIDAD AUTONOMA TOMAS FRIAS,Publica,Bolivia,UNIVERSIDAD AUTONOMA TOMAS FRIAS
UNIVERSIDAD CATOLICA BOLIVIANA SAN PABLO,Privada,Bolivia,UNIVERSIDAD CATOLICA BOLIVIANA SAN PABLO
UNIVERSIDAD CRISTIANA DE BOLIVIA,Privada,Bolivia,UNIVERSIDAD CRISTIANA DE BOLIVIA
UNIVERSIDAD DE AQUINO BOLIVIA,Privada,Bolivia,UNIVERSIDAD DE AQUINO BOLIVIA
UNIVERSIDAD MAYOR DE SAN ANDRES,Publica,Bolivia,UNIVERSIDAD MAYOR DE SAN ANDRES
UNIVERSIDAD MAYOR DE SAN SIMON,Publica,Bolivia,UNIVERSIDAD MAYOR DE SAN SIMON
UNIVERSIDAD MAYOR REAL Y PONTIFICIA SAN FRANCISCO XAVIER DE CHUQUISACA,Publica,Bolivia,UNIVERSIDAD MAYOR REAL Y PONTIFICIA SAN FRANCISCO XAVIER DE CHUQUISACA
UNIVERSIDAD NACIONAL DE BOLIVIA,Publica,Bolivia,UNIVERSIDAD NACIONAL DE BOLIVIA
UNIVERSIDAD NACIONAL ECOLOGICA,Publica,Bolivia,UNIVERSIDAD NACIONAL ECOLOGICA
UNIVERSIDAD NACIONAL SIGLO XX,Publica,Bolivia,UNIVERSIDAD NACIONAL SIGLO XX
UNIVERSIDAD PRIVADA DEL VALLE,Privada,Bolivia,UNIVERSIDAD PRIVADA DEL VALLE
UNIVERSIDAD PRIVADA FRANZ TAMAYO,Privada,Bolivia,UNIVERSIDAD PRIVADA FRANZ TAMAYO
UNIVERSIDAD PRIVADA LOS ANDES,Privada,Bolivia,UNIVERSIDAD PRIVADA LOS ANDES
UNIVERSIDAD PRIVADA NUESTRA SRA. DE LA PAZ,Privada,Bolivia,UNIVERSIDAD PRIVADA NUESTRA SRA. DE LA PAZ
UNIVERSIDAD TECNICA DE ORURO,Publica,Bolivia,UNIVERSIDAD TECNICA DE ORURO
UNIVERSIDAD TECNICA PRIVADA COSMOS,Privada,Bolivia,UNIVERSIDAD TECNICA PRIVADA COSMOS
UNIVERSIDAD CATOLICA DE CHILE,Privada,Chile,UNIVERSIDAD CATOLICA DE CHILE
CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,Privada,Colombia,CORPORACION UNIVERSITARIA RAFAEL NUÑEZ
FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS,Privada,Colombia,FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,Privada,Colombia,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD
FUNDACION UNIVERSITARIA JUAN N. CORPAS,Privada,Colombia,FUNDACION UNIVERSITARIA JUAN N. CORPAS
FUNDACION UNIVERSITARIA SANITAS,Privada,Colombia,FUNDACION UNIVERSITARIA SANITAS
PONTIFICIA UNIVERSIDAD JAVERIANA,Privada,Colombia,PONTIFICIA UNIVERSIDAD JAVERIANA
