UNIVERSIDAD,UNI,CLASE_UNI,PAIS_UNI,CIUDAD_UNI,LOC,long,lat
UNIVERISDAD NACIONAL AUTONOMA DE NICARAGUA,UNIVERISDAD NACIONAL AUTONOMA DE NICARAGUA,Pública,Nicaragua,León,"León, Nicaragua",-86.8786,12.4376
UNIVERSIDAD DE SUCRE,UNIVERSIDAD DE SUCRE,Pública,Colombia,Sucre,"Sucre, Colombia",-75.4003,9.3016
UNIVERSIDAD DEL ACONCAGUA,UNIVERSIDAD DEL ACONCAGUA,Privada,Argentina,Mendoza,"Mendoza, Argentina",-68.8458,-32.8895
UNIVERSIDAD CATOLICA DE CHILE,UNIVERSIDAD CATOLICA DE CHILE,Privada,Chile,Santiago,"Santiago, Chile",-70.6693,-33.4489
UNIVERSIDAD ICESI,UNIVERSIDAD ICESI,Privada,Colombia,Cali,"Cali, Colombia",-76.5319,3.4516
UNIVERSIDAD DE MANIZALES,UNIVERSIDAD DE MANIZALES,Privada,Colombia,Manziales,"Manziales, Colombia",-75.5174,5.0689
UNIVERSIDAD DE LA SABANA,UNIVERSIDAD DE LA SABANA,Privada,Colombia,Cundinamarca,"Cundinamarca, Colombia",-74.1442,4.8126
UNIVERSIDAD DE CARABOBO,UNIVERSIDAD DE CARABOBO,Pública,Venezuela,Valencia,"Valencia, Venezuela",-68.0077,10.162
UNIVERSIDAD PRIVADA ABIERTA LATINOAMERICANA,UNIVERSIDAD PRIVADA ABIERTA LATINOAMERICANA,Privada,Bolivia,Cochabamba,"Cochabamba, Bolivia",-66.1568,-17.3898
UNIVERSIDAD SAN FRANCISCO DE QUITO,UNIVERSIDAD SAN FRANCISCO DE QUITO,Privada,Ecuador,Quito,"Quito, Ecuador",-78.4678,-0.1807
HOSPITAL ITALIANO DE BUENOS AIRES,HOSPITAL ITALIANO DE BUENOS AIRES,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD MILITAR NUEVA GRANADA,UNIVERSIDAD MILITAR NUEVA GRANADA,Pública,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Pública,Colombia,Tunja,"Tunja, Colombia",-73.3676,5.5353
UNIVERSIDAD NACIONAL DE COLOMBIA,UNIVERSIDAD NACIONAL DE COLOMBIA,Pública,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD NACIONAL DEL ORIENTE,UNIVERSIDAD NACIONAL DEL ORIENTE,Privada,Bolivia,Santa Cruz de la Sierra,"Santa Cruz de la Sierra, Bolivia",-63.1822,-17.7833
UNIVERSIDAD DE CIENCIAS MEDICAS DE LA HABANA,UNIVERSIDAD DE CIENCIAS MEDICAS DE LA HABANA,Pública,Cuba,La Habana,"La Habana, Cuba",-82.3666,23.1136
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,UNIVERSIDAD BOLIVARIANA DE VENEZUELA,Pública,Venezuela,Caracas,"Caracas, Venezuela",-66.9036,10.4806
UNIVERSIDAD INTERNACIONAL DE LAS AMERICAS,UNIVERSIDAD INTERNACIONAL DE LAS AMERICAS,Privada,Costa Rica,San José,"San José, Costa Rica",-84.0907,9.9281
