UNIVERSIDAD,UNI,CLASE_UNI,PAIS_UNI,CIUDAD_UNI,LOC,long,lat
HOSPITAL UNIVERSITARIO AUSTRAL,HOSPITAL UNIVERSITARIO AUSTRAL,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD (BARCELÓ),BARCELO - BUENOS AIRES,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
INSTITUTO UNIVERSITARIO ITALIANO DE ROSARIO,INSTITUTO UNIVERSITARIO ITALIANO DE ROSARIO,Privada,Argentina,Rosario,"Rosario, Argentina",-60.6505,-32.9442
UNIVERSIDAD NACIONAL DEL SUR,UNIVERSIDAD NACIONAL DEL SUR,Pública,Argentina,Bahia Blanca,"Bahia Blanca, Argentina",-62.2659,-38.7196
UNIVERSIDAD NACIONAL DEL LITORAL,UNIVERSIDAD NACIONAL DEL LITORAL,Pública,Argentina,Santa Fe,"Santa Fe, Argentina",-60.7,-31.6333
ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,Pública,Ecuador,Riobamba,"Riobamba, Ecuador",-78.6546,-1.6644
UNIVERSIDAD NACIONAL DE LA MATANZA,UNIVERSIDAD NACIONAL DE LA MATANZA,Pública,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
INSTITUTO UNIVERSITARIO CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS DR. QUIRNO (CEMIC),CEMIC,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD CATOLICA DE LAS MISIONES,UNIVERSIDAD CATOLICA DE LAS MISIONES,Privada,Argentina,Posadas,"Posadas, Argentina",-55.9003,-27.3626
UNIVERSIDAD AUSTRAL (UAUSTRAL),UNIVERSIDAD AUSTRAL (UAUSTRAL),Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD NACIONAL DE ROSARIO,UNIVERSIDAD NACIONAL DE ROSARIO,Pública,Argentina,Rosario,"Rosario, Argentina",-60.6505,-32.9442
UNIVERSIDAD ABIERTA INTERAMERICANA - ROSARIO,UAI ROSARIO,Privada,Argentina,Rosario,"Rosario, Argentina",-60.6505,-32.9442
UNIVERSIDAD DEL AZUAY,UNIVERSIDAD DEL AZUAY,Privada,Ecuador,Azuay,"Azuay, Ecuador",-79.0045,-2.9006
PONTIFICIA UNIVERSIDAD CATOLICA ARGENTINA SANTA MARIA DE LOS BUENOS AIRES,UNIVERSIDAD CATOLICA ARGENTINA,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD CATOLICA DE CORDOBA,UNIVERSIDAD CATOLICA DE CORDOBA,Privada,Argentina,Cordoba,"Cordoba, Argentina",-64.1888,-31.4201
UNIVERSIDAD NACIONAL DE VILLA MARIA,UNIVERSIDAD NACIONAL DE VILLA MARIA,Pública,Argentina,Cordoba,"Cordoba, Argentina",-64.1888,-31.4201
UNIVERSIDAD DE MORON,UNIVERSIDAD DE MORON,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD MAIMONIDES,UNIVERSIDAD MAIMONIDES,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD NACIONAL DE CUYO,UNIVERSIDAD NACIONAL DE CUYO,Pública,Argentina,Mendoza,"Mendoza, Argentina",-68.8458,-32.8895
UNIVERSIDAD DE MENDOZA,UNIVERSIDAD DE MENDOZA,Privada,Argentina,Mendoza,"Mendoza, Argentina",-68.8458,-32.8895
INSTITUTO UNIVERSITARIO DE CIENCIAS BIOMEDICAS DE CORDOBA,INSTITUTO UNIVERSITARIO DE CIENCIAS BIOMEDICAS DE CORDOBA,Privada,Argentina,Cordoba,"Cordoba, Argentina",-64.1888,-31.4201
CEMIC - HOSPITAL UNIVERSITARIO SEDE SAAVEDRA,CEMIC,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD ADVENTISTA DEL PLATA,UNIVERSIDAD ADVENTISTA DEL PLATA,Privada,Argentina,Entre Ríos,"Entre Ríos, Argentina",-60.5238,-31.7226
INSTITUTO UNIVERSITARIO DE CIENCIAS BIOMEDICAS DE LA FUNDACION FAVALORO,UNIVERSIDAD FAVALORO,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES,Privada,Perú,Lima,"Lima, Perú",-77.0428,-12.0464
UNIVERSIDAD NACIONAL DE LA RIOJA,UNIVERSIDAD NACIONAL DE LA RIOJA,Pública,Argentina,La Rioja,"La Rioja, Argentina",-66.85,-29.4112
UNIVERSIDAD DEL MAGDALENA,UNIVERSIDAD DEL MAGDALENA,Pública,Colombia,Santa María,"Santa María, Colombia",-75.0202,10.7477
UNIVERSIDAD DE CIENCIAS EMPRESARIALES Y SOCIALES,UNIVERSIDAD DE CIENCIAS EMPRESARIALES Y SOCIALES,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD DE LAS AMERICAS,UNIVERSIDAD DE LAS AMERICAS,Privada,Chile,Santiago,"Santiago, Chile",-70.6693,-33.4489
UNIVERSIDAD METROPOLITANA DE BARRANQUILLA,UNIVERSIDAD METROPOLITANA DE BARRANQUILLA,Privada,Colombia,Barranquilla,"Barranquilla, Colombia",-74.7813,10.9685
UNIVERSIDAD UTE,UNIVERSIDAD UTE,Privada,Ecuador,Quito,"Quito, Ecuador",-78.4678,-0.1807
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD CENTRAL DEL ECUADOR,Pública,Ecuador,Quito,"Quito, Ecuador",-78.4678,-0.1807
UNIVERSIDAD NACIONAL DE LOJA,UNIVERSIDAD NACIONAL DE LOJA,Pública,Ecuador,Loja,"Loja, Ecuador",-79.2108,-4.0089
UNIVERSIDAD DE EL SALVADOR,UNIVERSIDAD DE EL SALVADOR,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD DE LOS ANDES DE VENEZUELA,UNIVERSIDAD DE LOS ANDES DE VENEZUELA,Pública,Venezuela,Mérida,"Mérida, Venezuela",-71.146,8.5981
ESCUELA LATINOAMERICANA DE MEDICINA,ESCUELA LATINOAMERICANA DE MEDICINA,Pública,Cuba,La Habana,"La Habana, Cuba",-82.3666,23.1136
UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES,UNICEN,Pública,Argentina,Tandil,"Tandil, Argentina",-59.1334,-37.3204
FUNDACION UNIVERSITARIA JUAN N. CORPAS,FUNDACION UNIVERSITARIA JUAN N. CORPAS,Privada,Colombia,Bogotá,"Bogotá, Colombia",-74.0721,4.711
UNIVERSIDAD UNIANDES,UNIVERSIDAD UNIANDES,Privada,Ecuador,Ambato,"Ambato, Ecuador",-78.6197,-1.247
UNIVERSIDAD DE SANTANDER - UDES,UNIVERSIDAD DE SANTANDER - UDES,Privada,Colombia,Bucaramanga,"Bucaramanga, Colombia",-73.1198,7.1254
UNIVERSIDAD TECNICA DE MACHALA,UNIVERSIDAD TECNICA DE MACHALA,Pública,Ecuador,Machala,"Machala, Ecuador",-79.961,-3.2586
UNIVERSIDAD SURCOLOMBIANA,UNIVERSIDAD SURCOLOMBIANA,Pública,Colombia,Neiva,"Neiva, Colombia",-75.2803,2.927
UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,Privada,Ecuador,Guayaquil,"Guayaquil, Ecuador",-79.9224,-2.17
UNIVERSIDAD NACIONAL ARTURO JAURETCHE,UNIVERSIDAD NACIONAL ARTURO JAURETCHE,Pública,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD TECNICA DE AMBATO,UNIVERSIDAD TECNICA DE AMBATO,Pública,Ecuador,Ambato,"Ambato, Ecuador",-78.6197,-1.247
HOSPITAL UNIVERSIDAD ABIERTA INTERAMERICANA UAI,UAI,Privada,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3816,-34.6037
UNIVERSIDAD DEL ZULIA,UNIVERSIDAD DEL ZULIA,Pública,Venezuela,Maracaibo,"Maracaibo, Venezuela",-71.65,10.6545
UNIVERSIDAD SIMON BOLIVAR,UNIVERSIDAD SIMON BOLIVAR,Privada,Colombia,Barranquilla,"Barranquilla, Colombia",-74.7813,10.9685
UNIVERSIDAD CATOLICA DE CUENCA,UNIVERSIDAD CATOLICA DE CUENCA,Privada,Ecuador,Quito,"Quito, Ecuador",-78.4678,-0.1807
UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,Pública,Ecuador,Manabi,"Manabi, Ecuador",-80.7336,-0.95
